Date,Close
20210401,1.38332
20210404,1.38298
20210405,1.39121
20210406,1.38297
20210407,1.37412
20210408,1.3733
20210411,1.37076
20210412,1.37532
20210413,1.37586
20210414,1.37775
20210415,1.37831
20210418,1.38173
20210419,1.39911
20210420,1.39375
20210421,1.39308
20210422,1.38386
20210425,1.38644
20210426,1.38943
20210427,1.39027
20210428,1.39539
20210429,1.395
20210502,1.38183
20210503,1.39028
20210504,1.38869
20210505,1.39083
20210506,1.38953
20210509,1.40402
20210510,1.41306
20210511,1.41352
20210512,1.40619
20210513,1.40457
20210516,1.41006
20210517,1.41475
20210518,1.41869
20210519,1.41069
20210520,1.41846
20210523,1.41398
20210524,1.41548
20210525,1.41424
20210526,1.41149
20210527,1.42028
20210530,1.4179
20210531,1.42266
20210601,1.41553
20210602,1.41707
20210603,1.41076
20210606,1.41639
20210607,1.41753
20210608,1.41487
20210609,1.41107
20210610,1.417
20210613,1.41173
20210614,1.4109
20210615,1.40804
20210616,1.39886
20210617,1.39374
20210620,1.38158
20210621,1.39238
20210622,1.39488
20210623,1.39663
20210624,1.39157
20210627,1.38957
20210628,1.38782
20210629,1.38398
20210630,1.38279
20210701,1.37585
20210704,1.3831
20210705,1.38529
20210706,1.38037
20210707,1.37992
20210708,1.37893
20210711,1.38982
20210712,1.38858
20210713,1.38052
20210714,1.38558
20210715,1.38277
20210718,1.37629
20210719,1.36684
20210720,1.3634
20210721,1.37115
20210722,1.37722
20210725,1.37565
20210726,1.38257
20210727,1.38817
20210728,1.39055
20210729,1.39632
20210801,1.3895
20210802,1.38906
20210803,1.39167
20210804,1.38893
20210805,1.3927
20210808,1.38663
20210809,1.38465
20210810,1.3835
20210811,1.38661
20210812,1.38106
20210815,1.38634
20210816,1.38403
20210817,1.37396
20210818,1.37424
20210819,1.36297
20210822,1.3624
20210823,1.37228
20210824,1.37243
20210825,1.37639
20210826,1.36998
20210829,1.37622
20210830,1.37584
20210831,1.37518
20210901,1.37708
20210902,1.38359
20210905,1.38572
20210906,1.38382
20210907,1.37786
20210908,1.37665
20210909,1.3838
20210912,1.38383
20210913,1.3837
20210914,1.38076
20210915,1.38478
20210916,1.37974
20210919,1.3728
20210920,1.36617
20210921,1.36569
20210922,1.36157
20210923,1.37203
20210926,1.36678
20210927,1.37002
20210928,1.35411
20210929,1.34267
20210930,1.34683
20211003,1.35696
20211004,1.36063
20211005,1.36256
20211006,1.35918
20211007,1.36189
20211010,1.36154
20211011,1.35907
20211012,1.35763
20211013,1.3668
20211014,1.36679
20211017,1.37603
20211018,1.37352
20211019,1.3792
20211020,1.38216
20211021,1.37911
20211024,1.37615
20211025,1.3763
20211026,1.37651
20211027,1.37314
20211028,1.37983
20211031,1.3682
20211101,1.3654
20211102,1.36156
20211103,1.36937
20211104,1.35074
20211107,1.34901
20211108,1.35632
20211109,1.35594
20211110,1.34118
20211111,1.33646
20211114,1.3416
20211115,1.34098
20211116,1.34246
20211117,1.34881
20211118,1.34984
20211121,1.34325
20211122,1.3397
20211123,1.33745
20211124,1.33292
20211125,1.33124
20211128,1.33401
20211129,1.33138
20211130,1.32952
20211201,1.32771
20211202,1.32993
20211205,1.32349
20211206,1.32619
20211207,1.32449
20211208,1.32085
20211209,1.32237
20211212,1.32568
20211213,1.32126
20211214,1.32291
20211215,1.32616
20211216,1.3322
20211219,1.32286
20211220,1.32088
20211221,1.32678
20211222,1.33501
20211223,1.34029
20211226,1.34019
20211227,1.34406
20211228,1.34329
20211229,1.34964
20211230,1.34968
20220102,1.35216
20220103,1.3482
20220104,1.35297
20220105,1.35543
20220106,1.35323
20220109,1.3591
20220110,1.35791
20220111,1.36323
20220112,1.37055
20220113,1.37128
20220116,1.36725
20220117,1.3647
20220118,1.35993
20220119,1.36082
20220120,1.35964
20220123,1.35546
20220124,1.34882
20220125,1.35092
20220126,1.34667
20220127,1.33872
20220130,1.34022
20220131,1.34441
20220201,1.35243
20220202,1.35641
20220203,1.35974
20220206,1.35324
20220207,1.35366
20220208,1.35464
20220209,1.35322
20220210,1.3549
20220213,1.35685
20220214,1.35319
20220215,1.35401
20220216,1.35815
20220217,1.36141
20220220,1.35907
20220221,1.35945
20220222,1.35878
20220223,1.35445
20220224,1.33711
20220227,1.33713
20220228,1.34216
20220301,1.33348
20220302,1.33963
20220303,1.335
20220306,1.32111
20220307,1.31127
20220308,1.30981
20220309,1.31843
20220310,1.31018
20220313,1.30491
20220314,1.30095
20220315,1.30437
20220316,1.31397
20220317,1.31582
20220320,1.31589
20220321,1.31687
20220322,1.32656
20220323,1.32049
20220324,1.31936
20220327,1.31727
20220328,1.30986
20220329,1.30924
20220330,1.31369
20220331,1.31451
