Date,Timestamp,Open,High,Low,Close,Volume
20190401,00:00:00,1.30206,1.30214,1.30093,1.30182,3609.63
20190401,01:00:00,1.30182,1.30284,1.30152,1.30212,3185.620001
20190401,02:00:00,1.30213,1.30323,1.30198,1.30311,2668.089994
20190401,03:00:00,1.30309,1.30353,1.30262,1.30344,1879.129997
20190401,04:00:00,1.30346,1.30435,1.30331,1.30432,3059.319998
20190401,05:00:00,1.30432,1.30662,1.3043,1.30576,6210.180004
20190401,06:00:00,1.30575,1.30845,1.30531,1.30709,13689.87999
20190401,07:00:00,1.3071,1.30777,1.30571,1.30642,18512.24997
20190401,08:00:00,1.30642,1.30935,1.30574,1.30894,20541.64998
20190401,09:00:00,1.30892,1.31019,1.30802,1.30974,16284.02998
20190401,10:00:00,1.30974,1.31075,1.3086,1.31044,17511.21002
20190401,11:00:00,1.31042,1.31241,1.30979,1.31122,18018.54001
20190401,12:00:00,1.31128,1.31212,1.31045,1.31151,16038.90002
20190401,13:00:00,1.3115,1.31229,1.31083,1.31122,17002.47001
20190401,14:00:00,1.31122,1.31496,1.30806,1.31399,20323.60997
20190401,15:00:00,1.314,1.31442,1.31156,1.3142,12729.14998
20190401,16:00:00,1.31423,1.31454,1.31148,1.31186,7678.279988
20190401,17:00:00,1.31188,1.31339,1.31187,1.31307,4788.94999
20190401,18:00:00,1.31307,1.31373,1.31164,1.31257,5756.389996
20190401,19:00:00,1.31257,1.31302,1.31106,1.31165,5536.389989
20190401,20:00:00,1.31165,1.31181,1.3101,1.31012,4924.489988
20190401,21:00:00,1.31003,1.31146,1.30294,1.30535,6351.330007
20190401,22:00:00,1.30532,1.30817,1.30525,1.30785,4296.529997
20190401,23:00:00,1.30787,1.3079,1.3066,1.30669,4680.92999
20190402,00:00:00,1.3067,1.3072,1.3058,1.307,4238.390003
20190402,01:00:00,1.30701,1.30732,1.30592,1.30617,3934.830004
20190402,02:00:00,1.3062,1.30702,1.30618,1.3069,3056.180004
20190402,03:00:00,1.3069,1.30748,1.30635,1.30707,5197.070001
20190402,04:00:00,1.30707,1.30723,1.30607,1.3066,3335.790004
20190402,05:00:00,1.3066,1.3085,1.30651,1.30691,3487.890008
20190402,06:00:00,1.30692,1.30697,1.30368,1.30525,12813.33999
20190402,07:00:00,1.30526,1.30552,1.3023,1.30501,23515.93001
20190402,08:00:00,1.30497,1.30712,1.30365,1.30423,22673.54001
20190402,09:00:00,1.30421,1.30761,1.30407,1.30477,14701.96997
20190402,10:00:00,1.30477,1.30655,1.30423,1.30593,9901.709988
20190402,11:00:00,1.30592,1.30592,1.30131,1.30151,16251.68999
20190402,12:00:00,1.30151,1.30363,1.30151,1.30318,19034.96001
20190402,13:00:00,1.30318,1.30531,1.30265,1.3051,22903.85002
20190402,14:00:00,1.3051,1.30547,1.30282,1.30313,24105.64002
20190402,15:00:00,1.3031,1.30405,1.30249,1.3033,16003.28
20190402,16:00:00,1.3033,1.30806,1.30282,1.30762,11835.70999
20190402,17:00:00,1.30763,1.31309,1.30691,1.31094,16867.72997
20190402,18:00:00,1.31095,1.31238,1.31056,1.31135,7932.139974
20190402,19:00:00,1.31135,1.31308,1.31102,1.31299,6170.889984
20190402,20:00:00,1.31297,1.31492,1.31229,1.31234,5682.639985
20190402,21:00:00,1.31302,1.31346,1.31255,1.31282,3298.520006
20190402,22:00:00,1.31282,1.31422,1.31277,1.31278,2287.089998
20190402,23:00:00,1.31277,1.31343,1.31247,1.31262,3436.389995
20190403,00:00:00,1.31262,1.31338,1.31229,1.31299,4875.940004
20190403,01:00:00,1.31299,1.31378,1.31209,1.31357,3686.610001
20190403,02:00:00,1.31357,1.3146,1.31337,1.31404,3497.009997
20190403,03:00:00,1.31406,1.31413,1.31363,1.31374,2134.030006
20190403,04:00:00,1.31376,1.31421,1.31319,1.31419,2115.670002
20190403,05:00:00,1.31419,1.31423,1.31339,1.31407,2262.050001
20190403,06:00:00,1.31404,1.3181,1.31398,1.31808,11373.43999
20190403,07:00:00,1.31809,1.31929,1.31725,1.31874,24063.49995
20190403,08:00:00,1.31873,1.31956,1.31415,1.31721,20922.91995
20190403,09:00:00,1.31721,1.31839,1.31666,1.31817,15590.76997
20190403,10:00:00,1.31817,1.31848,1.31658,1.31707,13196.21995
20190403,11:00:00,1.31707,1.31733,1.31531,1.3166,11808.62999
20190403,12:00:00,1.31659,1.31865,1.31609,1.3168,16138.92999
20190403,13:00:00,1.31679,1.31692,1.31207,1.3131,16556.18
20190403,14:00:00,1.31346,1.31608,1.31311,1.31589,18843.45001
20190403,15:00:00,1.31595,1.3185,1.31426,1.31822,14945.43001
20190403,16:00:00,1.31822,1.31822,1.31561,1.31688,11397.48
20190403,17:00:00,1.31688,1.31793,1.31515,1.31547,7500.459998
20190403,18:00:00,1.31547,1.31673,1.31419,1.31548,7494.329988
20190403,19:00:00,1.31548,1.3166,1.31522,1.31649,3948.509988
20190403,20:00:00,1.31649,1.31649,1.3153,1.31556,2953.949992
20190403,21:00:00,1.31518,1.31658,1.31515,1.31557,3885.839981
20190403,22:00:00,1.31557,1.31783,1.31557,1.31749,2601.57
20190403,23:00:00,1.31755,1.31801,1.31709,1.31755,3297.279989
20190404,00:00:00,1.31755,1.31811,1.31755,1.31767,3328.779998
20190404,01:00:00,1.31768,1.31777,1.31718,1.31766,2164.059998
20190404,02:00:00,1.31765,1.31774,1.31731,1.31752,2019.440001
20190404,03:00:00,1.31752,1.31772,1.31687,1.31713,2124.530004
20190404,04:00:00,1.31713,1.31723,1.31685,1.31691,1447.530008
20190404,05:00:00,1.31692,1.31864,1.31683,1.31821,2494.790007
20190404,06:00:00,1.31822,1.31907,1.31721,1.3188,13069.52998
20190404,07:00:00,1.3188,1.31906,1.31692,1.31867,18192.36998
20190404,08:00:00,1.31866,1.31866,1.31557,1.31627,16628.49999
20190404,09:00:00,1.31627,1.31643,1.31409,1.31564,17746.63001
20190404,10:00:00,1.31563,1.31637,1.31443,1.31469,16837.25
20190404,11:00:00,1.3147,1.3148,1.31292,1.31327,17924.59999
20190404,12:00:00,1.31323,1.31395,1.31242,1.31269,18603.22001
20190404,13:00:00,1.31269,1.3129,1.31023,1.31122,21314.69001
20190404,14:00:00,1.3112,1.31192,1.3078,1.30823,18494.71
20190404,15:00:00,1.30823,1.30843,1.30617,1.30704,15937.92999
20190404,16:00:00,1.30703,1.30869,1.30617,1.30816,10944.27998
20190404,17:00:00,1.30818,1.3083,1.30652,1.30698,6997.609979
20190404,18:00:00,1.30698,1.30702,1.30596,1.30627,5167.489987
20190404,19:00:00,1.30626,1.30856,1.30626,1.30818,6138.039981
20190404,20:00:00,1.30818,1.30823,1.30704,1.30729,3433.769984
20190404,21:00:00,1.30729,1.3075,1.30651,1.30684,3300.700005
20190404,22:00:00,1.30691,1.30764,1.30691,1.30713,1230.670001
20190404,23:00:00,1.30719,1.30748,1.30675,1.30728,2019.550001
20190405,00:00:00,1.30728,1.30821,1.3071,1.30779,2976.379996
20190405,01:00:00,1.30779,1.30814,1.30749,1.30779,1628.160002
20190405,02:00:00,1.30778,1.30817,1.30753,1.30789,1951.580002
20190405,03:00:00,1.30788,1.3091,1.30788,1.30898,2483.339995
