Date,Close
20190401,1.30669
20190402,1.31262
20190403,1.31755
20190404,1.30728
20190405,1.30338
20190408,1.30603
20190409,1.30543
20190410,1.30971
20190411,1.30544
20190412,1.30634
20190414,1.30829
20190415,1.3099
20190416,1.30435
20190417,1.30377
20190418,1.29909
20190419,1.29815
20190421,1.29918
20190422,1.29803
20190423,1.29369
20190424,1.29024
20190425,1.28938
20190426,1.29106
20190428,1.29183
20190429,1.29313
20190430,1.30393
20190501,1.30527
20190502,1.30312
20190503,1.31694
20190505,1.31499
20190506,1.30968
20190507,1.30671
20190508,1.30076
20190509,1.30084
20190510,1.29997
20190512,1.30075
20190513,1.2963
20190514,1.29059
20190515,1.2846
20190516,1.27961
20190517,1.2715
20190519,1.27299
20190520,1.27273
20190521,1.27066
20190522,1.26631
20190523,1.26626
20190524,1.27111
20190527,1.27298
20190528,1.26726
20190529,1.26579
20190530,1.26266
20190531,1.26118
20190602,1.26386
20190603,1.26538
20190604,1.26672
20190605,1.27036
20190606,1.26878
20190607,1.26942
20190609,1.27215
20190610,1.27227
20190611,1.26831
20190612,1.27159
20190613,1.26913
20190614,1.26733
20190616,1.25933
20190617,1.25964
20190618,1.25227
20190619,1.25621
20190620,1.26806
20190621,1.2713
20190623,1.27514
20190624,1.27547
20190625,1.27453
20190626,1.26856
20190627,1.2684
20190628,1.26706
20190630,1.2693
20190701,1.2698
20190702,1.26405
20190703,1.25904
20190704,1.25782
20190705,1.25816
20190707,1.25239
20190708,1.25217
20190709,1.25087
20190710,1.24542
20190711,1.25228
20190712,1.25356
20190714,1.25704
20190715,1.25677
20190716,1.2515
20190717,1.24092
20190718,1.244
20190719,1.25517
20190721,1.25111
20190722,1.25056
20190723,1.2462
20190724,1.24323
20190725,1.24797
20190726,1.24482
20190728,1.23746
20190729,1.23695
20190730,1.21717
20190731,1.21529
20190801,1.21281
20190802,1.21058
20190804,1.21496
20190805,1.21475
20190806,1.21638
20190807,1.2167
20190808,1.21727
20190809,1.21381
20190811,1.20191
20190812,1.20389
20190813,1.20682
20190814,1.20564
20190815,1.20543
20190816,1.20853
20190818,1.21581
20190819,1.21497
20190820,1.21359
20190821,1.21694
20190822,1.21287
20190823,1.22386
20190825,1.22602
20190826,1.22659
20190827,1.22149
20190828,1.22724
20190829,1.22011
20190830,1.2178
20190901,1.21578
20190902,1.21545
20190903,1.20292
20190904,1.2111
20190905,1.22431
20190906,1.2329
20190908,1.22838
20190909,1.22809
20190910,1.23379
20190911,1.2346
20190912,1.23263
20190913,1.23328
20190915,1.24957
20190916,1.24763
20190917,1.24128
20190918,1.24911
20190919,1.24675
20190920,1.25453
20190922,1.24694
20190923,1.2485
20190924,1.24341
20190925,1.24724
20190926,1.23734
20190927,1.23279
20190929,1.22919
20190930,1.2284
20191001,1.22811
20191002,1.22857
20191003,1.22983
20191004,1.23504
20191006,1.23342
20191007,1.23274
20191008,1.22942
20191009,1.22182
20191010,1.22272
20191011,1.24401
20191013,1.26164
20191014,1.25922
20191015,1.26088
20191016,1.27531
20191017,1.28205
20191018,1.28448
20191020,1.29026
20191021,1.29045
20191022,1.2982
20191023,1.285
20191024,1.29181
20191025,1.28389
20191027,1.28274
20191028,1.28117
20191029,1.28459
20191030,1.28605
20191031,1.29266
20191101,1.29651
20191104,1.29328
20191104,1.29367
20191105,1.28834
20191106,1.2882
20191107,1.28421
20191108,1.28158
20191111,1.27969
20191111,1.27893
20191112,1.28578
20191113,1.28464
20191114,1.28398
20191115,1.28794
20191118,1.29179
20191118,1.29302
20191119,1.29522
20191120,1.29087
20191121,1.29297
20191122,1.29117
20191125,1.28512
20191125,1.28424
20191126,1.28963
20191127,1.28547
20191128,1.29272
20191129,1.2912
20191202,1.29109
20191202,1.29122
20191203,1.29385
20191204,1.29992
20191205,1.31152
20191206,1.31601
20191209,1.3144
20191209,1.31431
20191210,1.31505
20191211,1.3137
20191212,1.32228
20191213,1.3478
20191216,1.33571
20191216,1.33899
20191217,1.32964
20191218,1.31008
20191219,1.30859
20191220,1.30219
20191223,1.30052
20191223,1.30099
20191224,1.29441
20191225,1.29524
20191226,1.30086
20191227,1.30924
20191230,1.31434
20191230,1.31182
20191231,1.32621
20200102,1.31339
20200103,1.30879
20200106,1.31589
20200107,1.31055
20200107,1.31273
20200108,1.31048
20200109,1.30611
20200110,1.30615
20200113,1.29951
20200114,1.30021
20200114,1.30213
20200115,1.30328
20200116,1.30739
20200117,1.30235
20200120,1.29995
20200121,1.30608
20200121,1.30454
20200122,1.31282
20200123,1.311
20200124,1.30782
20200127,1.30581
20200128,1.29971
20200128,1.2999
20200129,1.30119
20200130,1.30945
20200131,1.31959
20200203,1.3005
20200204,1.30216
20200204,1.30316
20200205,1.30038
20200206,1.29337
20200207,1.29007
20200210,1.29092
20200211,1.29643
20200211,1.29501
20200212,1.29656
20200213,1.3056
20200214,1.30401
20200217,1.30113
20200218,1.30254
20200218,1.30036
20200219,1.29178
20200220,1.28771
20200221,1.29737
20200224,1.29361
20200225,1.29828
20200225,1.30111
20200226,1.29078
20200227,1.28838
20200228,1.2761
20200302,1.28087
20200303,1.27815
20200303,1.28105
20200304,1.28418
20200305,1.29392
20200306,1.30029
20200309,1.31387
20200310,1.30263
20200310,1.29106
20200311,1.2856
20200312,1.25958
20200313,1.23576
20200316,1.22426
20200317,1.2048
20200317,1.20459
20200318,1.15447
20200319,1.16229
20200320,1.17136
20200323,1.14757
20200324,1.17491
20200324,1.1761
20200325,1.18344
20200326,1.2171
20200327,1.24113
20200330,1.23867
20200331,1.24059
20200331,1.23968
20200401,1.23944
20200402,1.23651
20200403,1.22264
20200406,1.2305
20200407,1.23678
20200407,1.23367
